customer_id,begin_date,end_date,monthly_charges,total_charges,type_One year,type_Two year,paperless_billing_Yes,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check
7590-VHVEG,2283,0,29.85,29.85,False,False,True,False,True,False
5575-GNVDE,1278,0,56.95,1889.5,True,False,False,False,False,True
3668-QPYBK,2191,1,53.85,108.15,False,False,True,False,False,True
7795-CFOCW,943,0,42.3,1840.75,True,False,False,False,False,False
9237-HQITU,2161,1,70.7,151.65,False,False,True,False,True,False
9305-CDSKC,1977,1,99.65,820.5,False,False,True,False,True,False
1452-KIOVK,1643,0,89.1,1949.4,False,False,True,True,False,False
6713-OKOMC,2008,0,29.75,301.9,False,False,False,False,False,True
7892-POOKP,1369,1,104.8,3046.05,False,False,True,False,True,False
6388-TABGU,426,0,56.15,3487.95,True,False,False,False,False,False
9763-GRSKD,1918,0,49.95,587.45,False,False,True,False,False,True
7469-LKBCI,1826,0,18.95,326.8,False,True,False,True,False,False
8091-TTVAX,547,0,100.35,5681.1,True,False,False,True,False,False
0280-XJGEX,700,1,103.7,5036.3,False,False,True,False,False,False
5129-JLPIS,1553,0,105.5,2686.05,False,False,True,False,True,False
3655-SNQYZ,212,0,113.25,7895.15,False,True,False,True,False,False
8191-XWSZG,730,0,20.65,1022.95,True,False,False,False,False,True
9959-WOFKT,151,0,106.7,7382.25,False,True,False,False,False,False
4190-MFLUW,1918,1,55.2,528.35,False,False,False,True,False,False
4183-MYFRB,1673,0,90.05,1862.9,False,False,True,False,True,False
8779-QRDMV,2222,1,39.65,39.65,False,False,True,False,True,False
1680-VDCWW,1949,0,19.8,202.25,True,False,False,False,False,False
1066-JKSGK,2222,1,20.15,20.15,False,False,False,False,False,True
3638-WEABW,547,0,59.9,3505.1,False,True,True,True,False,False
6322-HRPFA,822,0,59.6,2970.3,False,False,False,True,False,False
6865-JZNKO,1400,0,55.3,1530.6,False,False,True,False,False,False
6467-CHFZW,791,1,99.35,4749.15,False,False,True,False,True,False
8665-UTDHZ,2222,1,30.2,30.2,False,False,False,False,True,False
5248-YGIJN,123,0,90.25,6369.45,False,True,True,True,False,False
8773-HHUOZ,1704,1,64.7,1093.1,False,False,True,False,False,True
3841-NFECX,151,0,96.35,6766.95,False,True,True,True,False,False
4929-XIHVW,2252,0,95.5,181.65,False,False,True,True,False,False
6827-IEAUQ,1492,0,66.15,1874.45,True,False,False,False,False,True
7310-EGVHZ,2283,0,20.2,20.2,False,False,False,False,False,False
