customer_id,internet_service_Fiber optic,online_security_Yes,online_backup_Yes,device_protection_Yes,tech_support_Yes,streaming_tv_Yes,streaming_movies_Yes
7590-VHVEG,False,False,True,False,False,False,False
5575-GNVDE,False,True,False,True,False,False,False
3668-QPYBK,False,True,True,False,False,False,False
7795-CFOCW,False,True,False,True,True,False,False
9237-HQITU,True,False,False,False,False,False,False
9305-CDSKC,True,False,False,True,False,True,True
1452-KIOVK,True,False,True,False,False,True,False
6713-OKOMC,False,True,False,False,False,False,False
7892-POOKP,True,False,False,True,True,True,True
6388-TABGU,False,True,True,False,False,False,False
9763-GRSKD,False,True,False,False,False,False,False
8091-TTVAX,True,False,False,True,False,True,True
0280-XJGEX,True,False,True,True,False,True,True
5129-JLPIS,True,True,False,True,True,True,True
3655-SNQYZ,True,True,True,True,True,True,True
9959-WOFKT,True,True,False,True,False,True,True
4190-MFLUW,False,False,False,True,True,False,False
4183-MYFRB,True,False,True,True,False,False,True
8779-QRDMV,False,False,False,True,False,False,True
3638-WEABW,False,False,True,False,True,False,False
6322-HRPFA,False,True,True,False,True,False,False
6865-JZNKO,False,True,True,False,False,False,False
6467-CHFZW,True,False,True,False,False,True,True
8665-UTDHZ,False,False,True,False,False,False,False
5248-YGIJN,False,True,True,True,True,True,True
8773-HHUOZ,False,False,False,False,False,True,True
3841-NFECX,True,True,True,True,True,False,False
4929-XIHVW,True,False,False,True,False,True,True
6827-IEAUQ,False,True,True,True,True,False,False
3413-BMNZE,False,False,False,False,False,False,False
6234-RAAPL,True,True,True,False,True,True,False
6047-YHPVI,True,False,False,False,False,False,False
6572-ADKRS,True,False,False,True,False,False,False
5380-WJKOV,True,False,True,True,False,True,True
8168-UQWWF,True,False,False,True,False,True,True
8865-TNMNX,False,False,True,False,False,False,False
9489-DEDVP,False,True,True,False,False,True,False
4671-VJLCL,False,True,True,True,True,True,False
4080-IIARD,False,True,True,False,True,True,False
3714-NTNFO,True,False,False,False,False,False,True
5948-UJZLF,False,False,True,False,False,False,False
7760-OYPDY,True,False,False,False,False,True,False
7639-LIAYI,False,True,False,False,True,True,True
2954-PIBKO,False,True,False,True,True,False,False
8012-SOUDQ,True,False,True,False,False,True,False
9420-LOJKX,True,True,True,False,False,True,True
6575-SUVOI,False,True,False,False,True,True,False
7495-OOKFY,True,False,True,False,False,False,False
4667-QONEA,False,True,True,True,True,False,True
1658-BYGOY,True,False,False,False,False,True,True
8769-KKTPH,True,True,False,False,False,True,True
5067-XJQFU,True,False,True,True,True,True,True
5954-BDFSG,True,False,False,True,True,True,True
0434-CSFON,True,False,False,True,False,True,True
1215-FIGMP,True,False,True,False,False,True,False
0526-SXDJP,False,True,True,True,False,False,False
0557-ASKVU,False,False,False,True,True,False,False
5698-BQJOH,True,False,False,False,False,True,True
5122-CYFXA,False,False,True,False,True,True,True
8627-ZYGSZ,True,False,True,False,False,False,False
3410-YOQBQ,False,False,True,True,True,True,True
7410-OIEDU,True,True,False,True,False,False,False
2273-QCKXA,False,False,False,False,True,False,False
1891-QRQSA,True,True,False,True,True,True,True
5630-AHZIL,False,True,False,False,True,False,True
2673-CXQEU,True,True,True,True,False,True,True
6416-JNVRK,False,False,False,False,False,False,True
5590-ZSKRV,False,True,True,False,False,False,False
0191-ZHSKZ,False,True,True,False,False,True,True
5919-TMRGD,True,False,False,False,False,True,False
8108-UXRQN,False,True,False,False,False,True,True
9191-MYQKX,True,False,False,True,False,False,False
9919-YLNNG,True,False,True,True,True,True,True
4445-ZJNMU,True,False,True,False,False,True,True
4808-YNLEU,False,True,False,False,False,True,False
3016-KSVCP,False,False,False,False,False,True,False
4767-HZZHQ,True,False,True,True,False,False,False
2424-WVHPL,True,False,False,False,True,False,False
7233-PAHHL,False,True,False,True,True,True,True
6067-NGCEU,True,True,True,True,False,True,True
9848-JQJTX,True,False,True,True,False,True,True
8637-XJIVR,True,True,False,False,False,False,False
9803-FTJCG,False,True,True,False,True,False,False
4598-XLKNJ,True,False,True,True,False,True,True
7123-WQUHX,True,False,False,True,True,True,False
5386-THSLQ,False,False,True,True,False,True,False
3192-NQECA,True,False,True,True,True,True,True
6180-YBIQI,False,False,False,False,False,False,False
6728-DKUCO,True,True,True,False,False,True,True
9750-BOOHV,False,True,False,False,False,False,False
8597-CWYHH,True,False,False,False,False,True,True
0486-HECZI,True,True,True,False,False,True,False
4549-ZDQYY,False,True,False,True,True,False,False
5712-AHQNN,True,False,True,True,False,True,False
4846-WHAFZ,True,False,False,False,False,False,False
5256-SKJGO,False,False,True,False,True,True,True
3071-VBYPO,True,True,True,False,False,True,False
9560-BBZXK,False,True,False,False,False,False,False
5299-RULOA,True,True,False,False,False,True,True
9445-ZUEQE,True,False,True,False,True,False,False
1091-SOZGA,True,False,False,True,False,True,True
0404-SWRVG,True,False,False,False,False,False,False
6497-TILVL,False,True,False,False,False,False,False
4622-YNKIJ,True,True,False,False,True,True,False
4412-YLTKF,True,False,False,True,False,False,False
2639-UGMAZ,False,True,True,False,False,True,True
2876-GZYZC,True,False,False,False,False,False,True
6207-WIOLX,False,True,True,True,False,True,True
8587-XYZSF,False,False,False,False,True,False,False
3091-FYHKI,False,False,False,False,False,False,True
2372-HWUHI,False,False,False,False,False,False,False
7850-VWJUU,True,True,False,False,False,False,False
0390-DCFDQ,True,False,False,False,False,False,False
3146-MSEGF,False,True,True,True,True,True,True
4080-OGPJL,False,True,False,False,True,False,True
1095-WGNGG,True,False,True,False,False,True,True
2636-SJDOU,True,True,True,False,False,False,False
5716-EZXZN,True,True,True,False,True,True,False
2135-RXIHG,False,False,False,False,False,False,False
6440-DKQGE,False,False,True,True,False,True,False
3466-BYAVD,False,False,True,True,True,False,True
3780-YVMFA,False,False,False,False,True,True,True
3874-EQOEP,True,False,False,False,False,True,True
1679-JRFBR,True,True,True,True,False,True,True
9073-ZZIAY,False,True,True,True,True,True,True
6551-GNYDG,True,False,False,False,False,False,True
9167-APMXZ,True,False,False,False,False,True,False
6371-NZYEG,False,True,False,True,False,True,False
8992-VONJD,False,True,True,False,False,False,False
0867-MKZVY,True,True,False,False,False,False,False
4482-EWFMI,True,False,False,False,False,False,False
4648-YPBTM,False,False,True,True,True,False,True
3376-BMGFE,True,False,False,False,False,False,False
5997-OPVFA,False,True,True,True,True,True,True
3445-HXXGF,False,False,True,True,False,False,True
7654-YWJUF,True,True,False,True,True,False,False
1875-QIVME,True,False,False,True,True,True,True
6727-IOTLZ,False,False,True,True,True,True,True
0691-JVSYA,True,False,False,True,False,True,True
2656-FMOKZ,True,False,False,False,False,False,False
2070-FNEXE,True,True,False,False,False,False,False
5947-SGKCL,True,False,True,True,False,True,True
6317-YPKDH,False,False,True,False,False,False,False
6582-OIVSP,False,False,False,False,False,False,False
9367-WXLCH,True,False,False,False,False,False,True
5524-KHNJP,False,True,False,True,False,True,True
1918-ZBFQJ,True,False,True,True,False,False,False
1024-GUALD,False,False,False,False,False,False,False
4827-USJHP,False,False,True,False,False,False,False
8167-GJLRN,False,False,False,False,True,False,False
8017-UVSZU,False,False,True,False,False,False,False
7100-FQPRV,False,True,False,False,True,False,True
2472-OVKUP,True,False,True,True,False,False,True
9680-NIAUV,True,True,True,True,False,True,True
2604-IJPDU,True,True,True,False,True,True,False
6168-YBYNP,True,False,True,True,True,True,True
7255-SSFBC,True,False,True,True,True,True,True
9323-HGFWY,True,True,False,False,True,True,True
8544-GOQSH,True,False,True,False,True,False,False
3363-DTIVD,True,True,False,True,False,True,True
7018-WBJNK,True,False,False,False,False,True,False
9142-KZXOP,True,False,False,False,False,False,False
7674-YTAFD,True,False,True,False,True,False,False
6348-SNFUS,False,True,True,True,True,False,True
1285-OKIPP,True,False,False,False,False,False,True
7825-ECJRF,True,True,False,True,True,True,True
1347-KTTTA,True,False,True,True,True,True,True
7841-TZDMQ,False,False,False,False,False,False,False
4195-NZGTA,False,False,False,False,False,False,False
2504-DSHIH,True,False,False,False,False,False,True
0699-NDKJM,False,True,True,True,False,True,True
9286-BHDQG,False,True,True,True,True,False,False
0230-WEQUW,False,True,True,True,True,True,False
2040-LDIWQ,False,False,True,True,True,True,True
6496-JDSSB,True,False,False,False,False,True,False
9408-SSNVZ,True,False,False,False,False,False,False
0742-MOABM,False,False,False,False,True,False,False
6778-JFCMK,False,True,False,False,False,True,True
6341-JVQGF,False,True,False,True,True,True,True
2232-DMLXU,False,False,False,False,False,True,False
4811-JBUVU,True,False,False,False,True,False,True
0945-TSONX,False,True,True,False,True,True,True
2651-ZCBXV,True,True,True,False,True,True,True
3316-UWXUY,True,True,True,False,True,False,True
8937-RDTHP,True,True,False,False,False,False,True
1251-KRREG,False,False,True,False,False,False,False
0621-JFHOL,False,False,False,False,True,False,False
9903-LYSAB,True,False,False,False,False,False,False
0094-OIFMO,True,False,True,False,False,True,True
7301-ABVAD,False,False,True,True,True,True,True
6614-FHDBO,True,False,True,True,True,True,True
7576-ASEJU,False,True,False,False,True,True,True
9058-HRZSV,True,True,True,True,False,False,True
4522-AKYLR,False,False,True,True,False,False,False
0221-WMXNQ,True,True,False,False,False,False,False
0303-UNCIP,False,False,False,True,False,False,True
9947-OTFQU,True,False,True,False,False,False,False
0322-YINQP,False,True,False,False,False,False,False
0959-WHOKV,True,True,True,True,False,False,True
4075-JFPGR,True,True,True,True,False,True,False
4629-NRXKX,True,False,False,False,False,False,False
9514-JDSKI,False,False,True,False,False,True,False
3282-ZISZV,False,False,True,True,True,True,True
4111-BNXIF,False,False,True,True,True,True,True
7017-VFHAY,True,True,True,True,True,True,True
6655-LHBYW,True,True,True,True,True,True,True
4959-JOSRX,False,False,False,False,False,False,False
5046-NUHWD,False,True,False,True,False,False,True
7273-TEFQD,False,False,False,True,False,False,True
3606-TWKGI,True,False,True,True,False,True,True
7529-ZDFXI,True,False,True,False,False,False,True
7605-BDWDC,False,True,True,False,True,False,True
1950-KSVVJ,True,True,True,True,True,True,True
0123-CRBRT,False,True,True,True,True,True,True
3197-ARFOY,True,True,True,False,True,True,True
4385-GZQXV,True,False,False,False,True,True,True
7633-MVPUY,False,True,True,False,True,False,False
6366-ZGQGL,False,False,False,False,False,False,False
4716-HHKQH,True,False,True,False,True,True,True
5940-AHUHD,True,False,False,False,False,False,False
6432-TWQLB,True,False,True,False,True,False,False
4484-GLZOU,True,False,True,True,False,True,True
3179-GBRWV,False,True,True,False,False,False,True
8645-KWHJO,False,False,False,True,True,True,True
4130-MZLCC,False,False,True,False,False,False,False
0314-TKOSI,False,True,True,False,False,False,False
8229-MYEJZ,False,False,True,False,False,False,False
9577-WJVCQ,False,True,False,False,False,False,False
9512-UIBFX,True,False,False,True,False,True,True
6202-DYYFX,True,False,False,False,False,False,False
3808-HFKDE,False,False,False,False,False,False,False
5583-SXDAG,True,False,False,False,False,False,False
3488-PGMQJ,True,False,True,False,False,False,False
3580-REOAC,False,False,False,False,False,False,False
7534-BFESC,True,False,False,False,False,False,False
3727-OWVYD,False,True,True,True,False,False,False
2294-SALNE,True,False,True,True,True,False,False
4847-TAJYI,True,False,False,False,False,True,True
6556-DBKZF,True,False,False,True,False,False,False
6851-WEFYX,True,False,False,True,False,True,True
2985-JUUBZ,False,False,False,True,False,True,True
6390-DSAZX,True,True,False,False,False,False,False
0895-LMRSF,False,False,False,False,False,True,True
8098-LLAZX,True,False,False,False,False,True,True
8266-VBFQL,True,False,False,True,True,False,True
8181-YHCMF,False,False,True,True,True,True,True
2240-HSJQD,True,False,True,False,False,False,False
0265-EDXBD,True,False,False,False,False,False,False
4115-BNPJY,False,False,False,True,True,True,True
3167-SNQPL,True,False,True,False,False,True,True
4091-TVOCN,False,True,False,True,False,True,True
7277-OZCGZ,True,True,False,False,True,False,True
1557-EMYVT,True,True,True,True,True,True,True
2799-ARNLO,True,False,False,False,False,False,False
7563-BIUPC,True,False,False,False,False,True,False
5027-YOCXN,True,True,True,False,True,True,True
2321-OMBXY,False,True,True,False,True,True,True
2840-XANRC,True,False,False,True,False,True,True
6745-JEFZB,True,False,False,False,True,True,False
5020-ZSTTY,False,True,True,False,True,True,True
9880-TDQAC,False,False,True,True,True,True,True
8705-WZCYL,False,False,False,False,False,False,False
7102-JJVTX,False,True,False,False,False,False,False
8626-PTQGE,False,True,True,False,True,True,True
4983-CLMLV,True,False,True,False,True,True,True
5701-YVSVF,True,False,False,False,True,True,False
5804-LEPIM,True,False,False,False,False,False,False
5697-GOMBF,False,False,False,False,False,True,False
2739-CACDQ,True,False,False,True,False,False,False
2379-GYFLQ,True,False,True,True,False,True,False
0122-OAHPZ,True,False,False,False,False,False,False
2868-SNELZ,True,False,False,True,False,False,False
4322-RCYMT,False,False,True,True,True,False,True
6680-NENYN,True,False,True,True,False,True,True
2088-IEBAU,False,True,True,True,True,True,True
7982-VCELR,True,False,True,False,False,True,True
1343-EHPYB,True,False,True,True,False,True,True
6035-BXTTY,False,False,True,False,True,False,False
6885-PKOAM,False,True,True,True,True,True,True
7520-HQWJU,False,True,True,True,False,False,False
0021-IKXGC,True,False,False,False,False,False,False
2034-GDRCN,True,False,False,False,False,True,True
6243-OZGFH,False,False,False,False,False,True,True
4654-DLAMQ,True,True,True,True,False,False,True
0513-RBGPE,False,True,False,True,True,False,False
5160-UXJED,False,False,False,False,False,False,False
4115-NZRKS,True,False,False,False,False,True,True
0219-YTZUE,True,False,True,True,False,False,False
0623-IIHUG,False,True,False,False,False,True,False
4572-DVCGN,True,False,False,False,False,False,True
3351-NGXYI,False,True,False,False,False,False,False
8984-EYLLL,True,False,True,False,True,True,True
9057-MSWCO,False,True,False,False,False,False,False
9833-TGFHX,True,True,False,False,False,True,True
5229-DTFYB,True,False,True,False,True,True,True
0104-PPXDV,False,False,False,True,False,False,False
3583-KRKMD,True,False,False,False,True,False,False
1010-DIAUQ,True,False,False,True,False,True,True
9069-LGEUL,False,True,False,False,False,False,True
9571-EDEBV,True,False,False,True,False,True,True
3520-FJGCV,True,True,True,True,True,True,True
0259-GBZSH,True,False,False,False,False,True,False
6122-EFVKN,False,True,False,False,True,False,False
2805-EDJPQ,True,False,True,True,True,False,True
6862-CQUMB,True,False,True,False,False,True,True
7156-MXBJE,False,False,True,True,True,True,True
6158-HDPXZ,False,False,False,False,False,False,False
9601-BRXPO,True,False,False,True,True,True,True
2863-IMQDR,False,True,True,True,True,True,True
