customer_id,senior_citizen,gender_Male,partner_Yes,dependents_Yes
7590-VHVEG,False,False,True,False
5575-GNVDE,False,True,False,False
3668-QPYBK,False,True,False,False
7795-CFOCW,False,True,False,False
9237-HQITU,False,False,False,False
9305-CDSKC,False,False,False,False
1452-KIOVK,False,True,False,True
6713-OKOMC,False,False,False,False
7892-POOKP,False,False,True,False
6388-TABGU,False,True,False,True
9763-GRSKD,False,True,True,True
7469-LKBCI,False,True,False,False
8091-TTVAX,False,True,True,False
0280-XJGEX,False,True,False,False
5129-JLPIS,False,True,False,False
3655-SNQYZ,False,False,True,True
8191-XWSZG,False,False,False,False
9959-WOFKT,False,True,False,True
4190-MFLUW,False,False,True,True
4183-MYFRB,False,False,False,False
8779-QRDMV,True,True,False,False
1680-VDCWW,False,True,True,False
1066-JKSGK,False,True,False,False
3638-WEABW,False,False,True,False
6322-HRPFA,False,True,True,True
6865-JZNKO,False,False,False,False
6467-CHFZW,False,True,True,True
8665-UTDHZ,False,True,True,True
5248-YGIJN,False,True,True,False
8773-HHUOZ,False,False,False,True
3841-NFECX,True,False,True,False
4929-XIHVW,True,True,True,False
6827-IEAUQ,False,False,True,True
7310-EGVHZ,False,True,False,False
3413-BMNZE,True,True,False,False
6234-RAAPL,False,False,True,True
6047-YHPVI,False,True,False,False
6572-ADKRS,False,False,False,False
5380-WJKOV,False,True,False,False
8168-UQWWF,False,False,False,False
8865-TNMNX,False,True,True,True
9489-DEDVP,False,False,True,True
9867-JCZSP,False,False,True,True
4671-VJLCL,False,False,False,False
4080-IIARD,False,False,True,False
3714-NTNFO,False,False,False,False
5948-UJZLF,False,True,False,False
7760-OYPDY,False,False,False,False
7639-LIAYI,False,True,False,False
2954-PIBKO,False,False,True,True
8012-SOUDQ,True,False,False,False
9420-LOJKX,False,False,False,False
6575-SUVOI,True,False,True,False
7495-OOKFY,True,False,True,False
4667-QONEA,True,False,True,True
1658-BYGOY,True,True,False,False
8769-KKTPH,False,False,True,True
5067-XJQFU,True,True,True,True
3957-SQXML,False,False,True,True
5954-BDFSG,False,False,False,False
0434-CSFON,False,False,True,False
1215-FIGMP,False,True,False,False
0526-SXDJP,False,True,True,False
0557-ASKVU,False,False,True,True
5698-BQJOH,False,False,False,False
5122-CYFXA,False,False,False,False
8627-ZYGSZ,False,True,True,False
3410-YOQBQ,False,False,False,False
3170-NMYVV,False,False,True,True
7410-OIEDU,False,True,False,False
2273-QCKXA,False,True,False,False
0731-EBJQB,False,False,True,True
1891-QRQSA,True,True,True,True
8028-PNXHQ,False,True,True,True
5630-AHZIL,False,False,False,True
2673-CXQEU,True,False,False,False
6416-JNVRK,False,False,False,False
5590-ZSKRV,False,False,True,True
0191-ZHSKZ,True,True,False,False
3887-PBQAO,False,False,True,True
5919-TMRGD,False,False,False,True
8108-UXRQN,False,False,True,True
9191-MYQKX,False,False,True,False
9919-YLNNG,False,False,False,False
0318-ZOPWS,False,False,True,False
4445-ZJNMU,False,True,False,False
4808-YNLEU,False,False,True,False
1862-QRWPE,False,False,True,True
2796-NNUFI,False,False,True,True
3016-KSVCP,False,True,True,False
4767-HZZHQ,False,True,True,True
2424-WVHPL,True,True,False,False
7233-PAHHL,False,True,True,True
6067-NGCEU,False,False,False,False
9848-JQJTX,False,True,False,False
8637-XJIVR,False,False,False,False
9803-FTJCG,False,True,True,True
0278-YXOOG,False,True,False,False
3212-KXOCR,False,True,False,False
4598-XLKNJ,True,False,True,False
6380-ARCEH,False,True,False,False
3679-XASPY,False,False,True,True
7123-WQUHX,False,True,False,False
5386-THSLQ,True,False,True,False
3192-NQECA,False,True,True,False
6180-YBIQI,False,True,False,False
6728-DKUCO,False,False,True,True
9750-BOOHV,False,False,False,False
8597-CWYHH,False,True,False,False
2848-YXSMW,False,True,True,True
0486-HECZI,False,True,True,False
4549-ZDQYY,False,False,False,False
5712-AHQNN,False,False,False,False
4846-WHAFZ,True,False,True,False
5256-SKJGO,False,False,True,True
3071-VBYPO,False,True,True,True
9560-BBZXK,False,False,False,False
5299-RULOA,False,False,True,True
8402-OOOHJ,False,False,False,False
9445-ZUEQE,False,True,True,True
1091-SOZGA,False,False,True,True
2928-HLDBA,False,False,False,False
0404-SWRVG,False,True,False,False
6497-TILVL,False,False,True,True
7219-TLZHO,False,False,True,True
4622-YNKIJ,False,True,False,False
4412-YLTKF,True,False,False,False
6734-PSBAW,False,True,True,False
3930-ZGWVE,False,True,False,False
2639-UGMAZ,True,True,False,False
2876-GZYZC,False,False,False,False
6207-WIOLX,False,False,True,True
8587-XYZSF,False,True,False,False
3091-FYHKI,False,True,False,False
2372-HWUHI,False,True,False,False
7799-LGRDP,False,False,False,False
7850-VWJUU,False,False,False,False
3774-VBNXY,False,False,True,True
6217-KDYWC,False,True,False,True
0390-DCFDQ,True,False,True,False
3146-MSEGF,True,False,True,True
4080-OGPJL,False,False,False,False
1095-WGNGG,False,False,True,False
2636-SJDOU,False,True,False,False
1131-QQZEB,True,True,True,False
5716-EZXZN,False,False,True,True
6837-BJYDQ,False,True,False,False
2135-RXIHG,False,True,False,False
6440-DKQGE,False,True,False,True
3466-BYAVD,False,True,True,True
3780-YVMFA,False,False,True,True
3874-EQOEP,False,True,False,False
1679-JRFBR,False,False,True,True
9073-ZZIAY,False,True,True,True
3077-RSNTJ,False,False,True,True
6551-GNYDG,False,False,True,True
9167-APMXZ,False,False,False,False
2749-CTKAJ,False,True,True,True
6371-NZYEG,False,True,True,True
7554-NEWDD,False,True,False,False
8992-VONJD,False,False,False,True
0867-MKZVY,False,False,True,False
4482-EWFMI,False,False,False,False
4648-YPBTM,False,True,False,False
2907-ILJBN,False,False,True,True
6345-FZOQH,False,True,True,False
3376-BMGFE,False,False,False,False
5997-OPVFA,False,True,True,False
3445-HXXGF,True,True,True,False
1159-WFSGR,False,False,True,True
7654-YWJUF,False,True,True,False
1875-QIVME,False,False,True,False
6727-IOTLZ,False,True,True,False
0691-JVSYA,False,False,True,False
5918-VUKWP,False,False,False,False
1744-JHKYS,False,False,True,False
2656-FMOKZ,True,False,False,False
2070-FNEXE,True,False,False,False
5947-SGKCL,False,False,True,True
3712-PKXZA,False,True,True,False
6317-YPKDH,False,False,False,False
6582-OIVSP,False,False,False,False
9367-WXLCH,False,True,False,False
5524-KHNJP,False,True,True,True
1918-ZBFQJ,False,False,False,False
1024-GUALD,False,False,True,False
4827-USJHP,False,True,False,False
8167-GJLRN,False,True,False,False
0956-SYCWG,False,False,False,False
8017-UVSZU,False,False,True,False
7100-FQPRV,False,True,True,True
2472-OVKUP,False,True,True,False
2984-RGEYA,False,False,True,True
9680-NIAUV,False,False,True,True
2146-EGVDT,False,True,True,True
2604-IJPDU,False,False,True,False
9178-JHUVJ,False,True,True,True
6168-YBYNP,False,True,False,False
7255-SSFBC,False,True,True,True
3645-DEYGF,False,True,False,True
9323-HGFWY,False,False,True,False
8544-GOQSH,False,False,False,False
3363-DTIVD,False,True,True,True
7018-WBJNK,False,True,False,True
9142-KZXOP,False,True,False,False
7674-YTAFD,False,False,False,False
6348-SNFUS,False,True,True,True
1285-OKIPP,False,True,False,False
7825-ECJRF,False,False,False,False
1347-KTTTA,False,True,True,False
7841-TZDMQ,False,True,False,False
4195-NZGTA,False,False,False,False
7157-SMCFK,False,True,False,True
4709-LKHYG,False,False,True,True
2504-DSHIH,True,True,True,False
0699-NDKJM,False,False,True,False
9286-BHDQG,False,True,True,True
0230-WEQUW,False,True,True,False
2040-LDIWQ,False,True,True,True
6496-JDSSB,False,False,False,False
9408-SSNVZ,False,False,False,False
4443-EMBNA,False,False,True,False
6469-MRVET,False,True,True,True
0742-MOABM,False,True,True,False
5961-VUSRV,False,False,False,False
6778-JFCMK,False,True,False,False
6341-JVQGF,False,False,True,True
2232-DMLXU,False,False,True,False
4811-JBUVU,False,True,False,False
0945-TSONX,False,False,True,True
2651-ZCBXV,False,True,False,False
3316-UWXUY,False,True,False,False
8937-RDTHP,False,True,False,False
7083-MIOPC,False,False,False,False
1984-GPTEH,False,False,False,False
1251-KRREG,False,True,False,False
0621-JFHOL,False,False,False,False
9903-LYSAB,False,True,True,False
0094-OIFMO,True,False,False,False
9227-UAQFT,False,True,False,False
7301-ABVAD,False,False,False,False
6614-FHDBO,False,True,False,False
