begin_date,monthly_charges,total_charges,type_One year,type_Two year,paperless_billing_Yes,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,internet_service_Fiber optic,online_security_Yes,online_backup_Yes,device_protection_Yes,tech_support_Yes,streaming_tv_Yes,streaming_movies_Yes,senior_citizen,gender_Male,partner_Yes,dependents_Yes,multiple_lines_Yes
2099,50.6,249.95,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1247,59.45,2136.9,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True
1278,95.8,3036.75,True,False,True,False,True,False,True,False,False,True,False,True,True,False,True,True,False,False
1643,82.35,1852.85,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True
2191,80.2,181.1,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
1219,104.5,3684.95,False,False,True,True,False,False,True,True,False,True,False,True,True,False,False,True,True,True
1765,25.1,428.45,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True
761,56.15,2898.95,True,False,True,False,True,False,False,False,False,True,True,True,True,False,False,True,True,False
1096,76.5,2868.15,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True
488,20.5,1198.8,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
243,54.1,3794.5,False,True,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False
1949,49.85,552.1,False,True,False,False,False,True,False,True,False,True,True,False,True,False,False,False,False,False
1035,19.8,849.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2130,88.3,273.75,False,False,True,False,False,True,True,True,False,False,True,True,False,True,False,True,True,False
2222,73.85,196.4,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False
1035,62.3,2354.8,True,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False
608,85.45,4517.25,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
2222,25.2,25.2,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
1431,94.2,2607.6,False,False,True,False,True,False,True,False,False,False,True,True,True,False,True,False,False,False
2130,73.85,401.3,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
1977,89.5,863.1,False,False,True,False,True,False,True,False,False,False,False,True,True,False,True,False,False,False
2161,19.6,19.6,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1643,83.05,1799.3,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True
365,73.05,4688.65,True,False,True,True,False,False,False,True,False,True,False,True,True,False,True,True,True,False
2252,50.45,50.45,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
1918,80.45,950.2,False,False,True,False,True,False,True,False,False,False,False,False,True,True,True,True,False,False
457,20.55,1305.95,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False
1949,79.8,1001.2,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True
1492,102.8,2660.2,False,False,True,False,False,True,True,True,True,False,False,True,True,True,False,False,False,True
123,25.4,1710.9,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True
1522,51.55,1295.4,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2222,20.5,20.5,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
761,25.5,1281.25,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2099,100.5,514.0,False,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,False,True
1765,20.35,369.6,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1035,73.0,3001.2,True,False,True,False,True,False,False,False,False,True,False,True,True,False,True,True,False,True
1796,85.6,1345.55,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,True,False,True
2099,96.6,291.9,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True
123,105.5,7611.55,False,True,False,False,False,False,True,True,True,False,True,True,True,False,True,True,True,False
243,54.45,3687.75,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
151,87.25,6328.7,False,True,False,True,False,False,False,True,True,True,True,True,True,False,False,True,True,False
123,64.95,4546.0,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False
2283,21.05,21.05,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
1157,99.5,3762.0,False,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True
1219,104.8,3886.45,True,False,True,False,False,False,True,False,True,True,False,True,True,False,False,False,False,True
123,99.4,7285.7,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,True,False,True
273,25.6,1784.9,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True
