begin_date,monthly_charges,total_charges,type_One year,type_Two year,paperless_billing_Yes,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,internet_service_Fiber optic,online_security_Yes,online_backup_Yes,device_protection_Yes,tech_support_Yes,streaming_tv_Yes,streaming_movies_Yes,senior_citizen,gender_Male,partner_Yes,dependents_Yes,multiple_lines_Yes
2099,90.8,455.5,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True
123,99.4,7285.7,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,True,False,True
1826,20.6,330.25,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2099,49.2,216.9,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
2283,20.45,20.45,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2130,20.95,109.5,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2252,76.4,76.4,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False
1918,85.95,1215.65,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
974,61.5,2722.2,True,False,True,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False
1796,98.15,1230.25,False,False,False,False,False,True,True,True,False,False,False,True,True,False,True,False,False,True
1734,19.95,373.5,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2130,39.5,210.75,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
2252,80.45,137.1,False,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False
2222,73.6,73.6,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False
608,52.0,2884.9,True,False,True,False,False,True,False,True,True,False,True,True,False,False,True,True,True,False
1431,79.3,2414.55,False,False,True,False,True,False,True,False,False,False,True,False,False,True,True,True,False,True
2252,93.55,93.55,False,False,True,False,True,False,True,False,False,False,False,True,True,True,True,False,False,True
2222,20.5,20.5,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2283,44.05,44.05,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1522,93.6,2404.1,False,False,True,False,True,False,True,False,False,False,False,True,True,True,True,False,False,True
2099,29.65,118.5,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
273,54.2,3623.95,False,True,False,True,False,False,False,True,True,True,True,True,False,False,False,True,True,False
761,20.45,1042.65,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
273,111.2,7530.8,False,True,True,False,False,False,True,False,True,True,True,True,True,False,True,True,True,True
1219,69.75,2347.9,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False
2222,85.05,85.05,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True
